,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
last,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,,,,,,
subaltern,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,
compliment,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,
department,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,,,,,,,,,,,,,,,,,,,,,
know,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt
came,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt
speak,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,
gift,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,
pick,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,
difficult,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,
account,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,,,,,,,,,,,,
honor,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,,,,,,,,,,,,,,,,
live,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,
ask,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,
asid,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,,,,,,,,,,,,,,,,,,,,
plea,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,,,,,,,,,,,
return,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,
keep,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,
ghor,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
danc,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,
